[2025-01-25 21:27:02.298] [network] [info] Network initialized.
[2025-01-25 21:27:02.303] [network] [info] Connection to localhost:7777 succeeded.
[2025-01-25 21:27:02.321] [network] [info] Sending packet to server
[2025-01-25 21:27:02.321] [network] [info] Sending packet to server
[2025-01-25 21:27:02.321] [network] [info] Sending packet to server
[2025-01-25 21:27:02.321] [network] [info] Sending packet to server
[2025-01-25 21:27:02.321] [network] [info] Sending packet to server
[2025-01-25 21:27:02.338] [network] [info] Sending packet to server
[2025-01-25 21:27:02.338] [network] [info] Sending packet to server
[2025-01-25 21:27:02.338] [network] [info] Sending packet to server
[2025-01-25 21:27:02.338] [network] [info] Sending packet to server
[2025-01-25 21:27:02.338] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.346] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.355] [network] [info] Sending packet to server
[2025-01-25 21:27:02.355] [network] [info] Sending packet to server
[2025-01-25 21:27:02.355] [network] [info] Sending packet to server
[2025-01-25 21:27:02.355] [network] [info] Sending packet to server
[2025-01-25 21:27:02.368] [network] [info] Sending packet to server
[2025-01-25 21:27:02.368] [network] [info] Sending packet to server
[2025-01-25 21:27:02.368] [network] [info] Sending packet to server
[2025-01-25 21:27:02.385] [network] [info] Sending packet to server
[2025-01-25 21:27:02.385] [network] [info] Sending packet to server
[2025-01-25 21:27:02.385] [network] [info] Sending packet to server
[2025-01-25 21:27:02.385] [network] [info] Sending packet to server
[2025-01-25 21:27:02.398] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.402] [network] [info] Sending packet to server
[2025-01-25 21:27:02.402] [network] [info] Sending packet to server
[2025-01-25 21:27:02.402] [network] [info] Sending packet to server
[2025-01-25 21:27:02.402] [network] [info] Sending packet to server
[2025-01-25 21:27:02.419] [network] [info] Sending packet to server
[2025-01-25 21:27:02.420] [network] [info] Sending packet to server
[2025-01-25 21:27:02.420] [network] [info] Sending packet to server
[2025-01-25 21:27:02.420] [network] [info] Sending packet to server
[2025-01-25 21:27:02.432] [network] [info] Sending packet to server
[2025-01-25 21:27:02.433] [network] [info] Sending packet to server
[2025-01-25 21:27:02.433] [network] [info] Sending packet to server
[2025-01-25 21:27:02.445] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.450] [network] [info] Sending packet to server
[2025-01-25 21:27:02.450] [network] [info] Sending packet to server
[2025-01-25 21:27:02.450] [network] [info] Sending packet to server
[2025-01-25 21:27:02.450] [network] [info] Sending packet to server
[2025-01-25 21:27:02.467] [network] [info] Sending packet to server
[2025-01-25 21:27:02.467] [network] [info] Sending packet to server
[2025-01-25 21:27:02.467] [network] [info] Sending packet to server
[2025-01-25 21:27:02.467] [network] [info] Sending packet to server
[2025-01-25 21:27:02.480] [network] [info] Sending packet to server
[2025-01-25 21:27:02.480] [network] [info] Sending packet to server
[2025-01-25 21:27:02.480] [network] [info] Sending packet to server
[2025-01-25 21:27:02.497] [network] [info] Sending packet to server
[2025-01-25 21:27:02.497] [network] [info] Sending packet to server
[2025-01-25 21:27:02.497] [network] [info] Sending packet to server
[2025-01-25 21:27:02.497] [network] [info] Sending packet to server
[2025-01-25 21:27:02.497] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.514] [network] [info] Sending packet to server
[2025-01-25 21:27:02.514] [network] [info] Sending packet to server
[2025-01-25 21:27:02.515] [network] [info] Sending packet to server
[2025-01-25 21:27:02.515] [network] [info] Sending packet to server
[2025-01-25 21:27:02.532] [network] [info] Sending packet to server
[2025-01-25 21:27:02.532] [network] [info] Sending packet to server
[2025-01-25 21:27:02.532] [network] [info] Sending packet to server
[2025-01-25 21:27:02.532] [network] [info] Sending packet to server
[2025-01-25 21:27:02.545] [network] [info] Sending packet to server
[2025-01-25 21:27:02.545] [network] [info] Sending packet to server
[2025-01-25 21:27:02.545] [network] [info] Sending packet to server
[2025-01-25 21:27:02.545] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.562] [network] [info] Sending packet to server
[2025-01-25 21:27:02.562] [network] [info] Sending packet to server
[2025-01-25 21:27:02.562] [network] [info] Sending packet to server
[2025-01-25 21:27:02.562] [network] [info] Sending packet to server
[2025-01-25 21:27:02.579] [network] [info] Sending packet to server
[2025-01-25 21:27:02.579] [network] [info] Sending packet to server
[2025-01-25 21:27:02.579] [network] [info] Sending packet to server
[2025-01-25 21:27:02.579] [network] [info] Sending packet to server
[2025-01-25 21:27:02.592] [network] [info] Sending packet to server
[2025-01-25 21:27:02.592] [network] [info] Sending packet to server
[2025-01-25 21:27:02.592] [network] [info] Sending packet to server
[2025-01-25 21:27:02.592] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.609] [network] [info] Sending packet to server
[2025-01-25 21:27:02.609] [network] [info] Sending packet to server
[2025-01-25 21:27:02.609] [network] [info] Sending packet to server
[2025-01-25 21:27:02.609] [network] [info] Sending packet to server
[2025-01-25 21:27:02.627] [network] [info] Sending packet to server
[2025-01-25 21:27:02.627] [network] [info] Sending packet to server
[2025-01-25 21:27:02.627] [network] [info] Sending packet to server
[2025-01-25 21:27:02.627] [network] [info] Sending packet to server
[2025-01-25 21:27:02.640] [network] [info] Sending packet to server
[2025-01-25 21:27:02.640] [network] [info] Sending packet to server
[2025-01-25 21:27:02.640] [network] [info] Sending packet to server
[2025-01-25 21:27:02.648] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.657] [network] [info] Sending packet to server
[2025-01-25 21:27:02.657] [network] [info] Sending packet to server
[2025-01-25 21:27:02.657] [network] [info] Sending packet to server
[2025-01-25 21:27:02.657] [network] [info] Sending packet to server
[2025-01-25 21:27:02.674] [network] [info] Sending packet to server
[2025-01-25 21:27:02.674] [network] [info] Sending packet to server
[2025-01-25 21:27:02.674] [network] [info] Sending packet to server
[2025-01-25 21:27:02.674] [network] [info] Sending packet to server
[2025-01-25 21:27:02.691] [network] [info] Sending packet to server
[2025-01-25 21:27:02.691] [network] [info] Sending packet to server
[2025-01-25 21:27:02.691] [network] [info] Sending packet to server
[2025-01-25 21:27:02.691] [network] [info] Sending packet to server
[2025-01-25 21:27:02.691] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.704] [network] [info] Sending packet to server
[2025-01-25 21:27:02.704] [network] [info] Sending packet to server
[2025-01-25 21:27:02.704] [network] [info] Sending packet to server
[2025-01-25 21:27:02.721] [network] [info] Sending packet to server
[2025-01-25 21:27:02.722] [network] [info] Sending packet to server
[2025-01-25 21:27:02.722] [network] [info] Sending packet to server
[2025-01-25 21:27:02.722] [network] [info] Sending packet to server
[2025-01-25 21:27:02.739] [network] [info] Sending packet to server
[2025-01-25 21:27:02.739] [network] [info] Sending packet to server
[2025-01-25 21:27:02.739] [network] [info] Sending packet to server
[2025-01-25 21:27:02.739] [network] [info] Sending packet to server
[2025-01-25 21:27:02.747] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.752] [network] [info] Sending packet to server
[2025-01-25 21:27:02.752] [network] [info] Sending packet to server
[2025-01-25 21:27:02.752] [network] [info] Sending packet to server
[2025-01-25 21:27:02.769] [network] [info] Sending packet to server
[2025-01-25 21:27:02.769] [network] [info] Sending packet to server
[2025-01-25 21:27:02.769] [network] [info] Sending packet to server
[2025-01-25 21:27:02.769] [network] [info] Sending packet to server
[2025-01-25 21:27:02.786] [network] [info] Sending packet to server
[2025-01-25 21:27:02.786] [network] [info] Sending packet to server
[2025-01-25 21:27:02.786] [network] [info] Sending packet to server
[2025-01-25 21:27:02.786] [network] [info] Sending packet to server
[2025-01-25 21:27:02.795] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.803] [network] [info] Sending packet to server
[2025-01-25 21:27:02.803] [network] [info] Sending packet to server
[2025-01-25 21:27:02.803] [network] [info] Sending packet to server
[2025-01-25 21:27:02.803] [network] [info] Sending packet to server
[2025-01-25 21:27:02.816] [network] [info] Sending packet to server
[2025-01-25 21:27:02.816] [network] [info] Sending packet to server
[2025-01-25 21:27:02.816] [network] [info] Sending packet to server
[2025-01-25 21:27:02.834] [network] [info] Sending packet to server
[2025-01-25 21:27:02.834] [network] [info] Sending packet to server
[2025-01-25 21:27:02.834] [network] [info] Sending packet to server
[2025-01-25 21:27:02.834] [network] [info] Sending packet to server
[2025-01-25 21:27:02.846] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.851] [network] [info] Sending packet to server
[2025-01-25 21:27:02.851] [network] [info] Sending packet to server
[2025-01-25 21:27:02.851] [network] [info] Sending packet to server
[2025-01-25 21:27:02.851] [network] [info] Sending packet to server
[2025-01-25 21:27:02.864] [network] [info] Sending packet to server
[2025-01-25 21:27:02.864] [network] [info] Sending packet to server
[2025-01-25 21:27:02.864] [network] [info] Sending packet to server
[2025-01-25 21:27:02.881] [network] [info] Sending packet to server
[2025-01-25 21:27:02.881] [network] [info] Sending packet to server
[2025-01-25 21:27:02.881] [network] [info] Sending packet to server
[2025-01-25 21:27:02.881] [network] [info] Sending packet to server
[2025-01-25 21:27:02.898] [network] [info] Sending packet to server
[2025-01-25 21:27:02.898] [network] [info] Sending packet to server
[2025-01-25 21:27:02.898] [network] [info] Sending packet to server
[2025-01-25 21:27:02.898] [network] [info] Sending packet to server
[2025-01-25 21:27:02.898] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.915] [network] [info] Sending packet to server
[2025-01-25 21:27:02.915] [network] [info] Sending packet to server
[2025-01-25 21:27:02.915] [network] [info] Sending packet to server
[2025-01-25 21:27:02.915] [network] [info] Sending packet to server
[2025-01-25 21:27:02.928] [network] [info] Sending packet to server
[2025-01-25 21:27:02.928] [network] [info] Sending packet to server
[2025-01-25 21:27:02.928] [network] [info] Sending packet to server
[2025-01-25 21:27:02.946] [network] [info] Sending packet to server
[2025-01-25 21:27:02.946] [network] [info] Sending packet to server
[2025-01-25 21:27:02.946] [network] [info] Sending packet to server
[2025-01-25 21:27:02.946] [network] [info] Sending packet to server
[2025-01-25 21:27:02.946] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:02.963] [network] [info] Sending packet to server
[2025-01-25 21:27:02.963] [network] [info] Sending packet to server
[2025-01-25 21:27:02.963] [network] [info] Sending packet to server
[2025-01-25 21:27:02.963] [network] [info] Sending packet to server
[2025-01-25 21:27:02.976] [network] [info] Sending packet to server
[2025-01-25 21:27:02.976] [network] [info] Sending packet to server
[2025-01-25 21:27:02.976] [network] [info] Sending packet to server
[2025-01-25 21:27:02.993] [network] [info] Sending packet to server
[2025-01-25 21:27:02.993] [network] [info] Sending packet to server
[2025-01-25 21:27:02.993] [network] [info] Sending packet to server
[2025-01-25 21:27:02.993] [network] [info] Sending packet to server
[2025-01-25 21:27:02.993] [network] [info] Packet received from peer 16777343: size 16 bytes.
[2025-01-25 21:27:03.010] [network] [info] Sending packet to server
[2025-01-25 21:27:03.010] [network] [info] Sending packet to server
[2025-01-25 21:27:03.010] [network] [info] Sending packet to server
[2025-01-25 21:27:03.010] [network] [info] Sending packet to server
[2025-01-25 21:27:03.028] [network] [info] Sending packet to server
